Blog	an	analytics	as	business	by	company	financial	from	global	government	health	help	information	more	on	our	products	provides	research	s	services	software	solutions	technology	their	through	we
Datamyne	0	0	3	2	0	1	0	1	1	0	0	1	0	1	1	3	1	2	0	0	0	0	0	0	1	0	0
Innography	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	2	0	1	0	2	2	0	0
GreatSchools	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	3	0	1
Business Monitor International	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
Avvo	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	1	0	0
Civic Insight	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deloitte	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Earth Networks	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0
Computer Packages Inc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0
Headlight	3	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	1	0
How's My Offer?	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
AutoGrid Systems	2	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
Evidera	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	3	0	2	0	0	0	1	0	1
